,Fund1,Fund2,DTW_distance
632,American Century NT Growth Fund,PACE Large Co Growth Equity Invmt,760.033374694183
633,American Century NT Growth Fund,PGIM Jennison Blend Fund,427.79961489892395
634,American Century NT Growth Fund,PGIM Jennison Growth Fund,857.1222614607948
635,American Century NT Growth Fund,Pioneer Disciplined Growth Fund,455.5652380003379
636,American Century NT Growth Fund,Pioneer Fundamental Growth Fund,1008.0220681665315
637,American Century NT Growth Fund,Polen Growth Fund,682.2386579203876
638,American Century NT Growth Fund,PrimeCap Odyssey Growth Fund,872.8629177721608
639,American Century NT Growth Fund,Principal LargeCap Growth Fund I,480.6249891225189
640,American Century NT Growth Fund,Putnam Large Cap Growth Fund,606.690471006981
641,American Century NT Growth Fund,Putnam Sustainable Leaders Fund,620.8705094003739
642,American Century NT Growth Fund,SEI Large Cap Growth (SIMT) Fund,743.9077885634741
643,American Century NT Growth Fund,Schwab Select Large Cap Growth Fund,689.987684320509
644,American Century NT Growth Fund,T. Rowe Price Instl Large Cap Core Gr Fd,739.368892272515
645,American Century NT Growth Fund,TCW Select Equities Fund,769.7803960893625
646,American Century NT Growth Fund,TIAA-CREF Large-Cap Growth Fund,762.2142233084608
647,American Century NT Growth Fund,Thrivent Large Cap Growth Fund,426.42487332442124
648,American Century NT Growth Fund,Transamerica Capital Growth Fund,1154.617945641929
649,American Century NT Growth Fund,Transamerica US Growth,702.821146638368
650,American Century NT Growth Fund,VALIC Company I Growth Fund,456.2871015265628
651,American Century NT Growth Fund,VY® T. Rowe Price Growth Equity Port,701.5510873601663
652,American Century NT Growth Fund,Vanguard US Growth Portfolio,515.2385771427752
653,American Century NT Growth Fund,Victory Aggressive Growth,679.6367124540492
654,American Century NT Growth Fund,Victory Growth,777.9386732121276
655,American Century NT Growth Fund,Voya Large Cap Growth Port,945.151309055213
656,American Century NT Growth Fund,Wedgewood Fund,706.7914187487453
657,American Century Select Fund,BNY Mellon Research Growth Fund,571.5151961338877
658,American Century Select Fund,BlackRock Capital Appreciation Fund,571.3794757799617
659,American Century Select Fund,BlackRock Large Cap Focus Growth Fund,485.63090620584956
660,American Century Select Fund,Calamos Growth Fund,885.2257951639601
661,American Century Select Fund,Calvert Equity Fund,735.0003172645916
662,American Century Select Fund,ClearBridge Large Cap Growth Fund,655.9973307313165
663,American Century Select Fund,Columbia Large Cap Growth Fund,455.31013807454383
664,American Century Select Fund,Columbia Large Cap Growth Opportunity Fd,588.1185496784266
665,American Century Select Fund,Columbia Select Large Cap Growth Fund,1504.6597000468767
666,American Century Select Fund,DWS Capital Growth Fund,423.4697331095226
667,American Century Select Fund,Delaware Ivy Accumulative Fund,686.5509780651811
668,American Century Select Fund,Delaware Ivy Large Cap Growth Fund,467.4998142168448
669,American Century Select Fund,Edgewood Growth Fund,758.2884925853745
670,American Century Select Fund,Elfun Trusts,867.6669387779137
671,American Century Select Fund,Federated Hermes Kaufmann Lrg Cp Fd,534.1291866724371
672,American Century Select Fund,Fidelity Advisor® Equity Growth Fund,453.56619811006505
673,American Century Select Fund,Fidelity Advisor® Growth Opps Fd,842.29426883844
674,American Century Select Fund,Fidelity® Capital Appreciation Fund,494.19954833036724
675,American Century Select Fund,Fidelity® Focused Stock Fund,594.1063728419615
676,American Century Select Fund,Fidelity® Growth Discovery Fund,414.6943736635939
677,American Century Select Fund,Fidelity® Large Cap Growth Enh Idx Fd,566.3569885727304
678,American Century Select Fund,Fidelity® Trend Fund,462.65870524842245
679,American Century Select Fund,GuideStone Funds Growth Equity Fund,420.016198610883
680,American Century Select Fund,Hartford Growth Opportunities Fund,915.4159889750858
681,American Century Select Fund,Invesco Capital Appreciation Fd,666.6859445937998
682,American Century Select Fund,Invesco Summit Fund,441.81146627752855
683,American Century Select Fund,JHFunds2 Capital Appreciation Fund,612.1584283779066
684,American Century Select Fund,JHancock Blue Chip Growth Fund,588.6431209029276
685,American Century Select Fund,JHancock US Global Leaders Growth Fund,384.6703736540547
686,American Century Select Fund,JNL/BlackRock Large Cap Select Growth Fd,604.0672248871599
687,American Century Select Fund,JNL/T. Rowe Price Established Growth Fd,651.8050252691693
688,American Century Select Fund,Jackson Square Large Cap Growth Fd,695.7783897006569
689,American Century Select Fund,Janus Henderson Forty Fund,540.2544991250794
690,American Century Select Fund,Janus Henderson Research Fund,459.5008693336843
691,American Century Select Fund,John Hancock Funds III U.S. Growth Fd,405.0120570519355
692,American Century Select Fund,Loomis Sayles Growth Fund,666.0269812349782
693,American Century Select Fund,Lord Abbett Growth Leaders Fund,770.2900261452904
694,American Century Select Fund,MFS Massachusetts Investors Gr Stk Fund,648.4605891521891
695,American Century Select Fund,MainStay WMC Growth Fd,589.2725602675819
696,American Century Select Fund,Morgan Stanley Insight Fund,1276.8269701043898
697,American Century Select Fund,Neuberger Berman Large Cap Growth Fund,485.85100872829884
698,American Century Select Fund,Nuveen Winslow Large-Cap Growth ESG Fund,519.5296097359773
699,American Century Select Fund,Optimum Large Cap Growth Fund,512.4009034284584
700,American Century Select Fund,PACE Large Co Growth Equity Invmt,482.57598217271055
701,American Century Select Fund,PGIM Jennison Blend Fund,489.8957396075073
702,American Century Select Fund,PGIM Jennison Growth Fund,722.7664206306904
703,American Century Select Fund,Pioneer Disciplined Growth Fund,439.52145232602174
704,American Century Select Fund,Pioneer Fundamental Growth Fund,742.2570798933792
705,American Century Select Fund,Polen Growth Fund,622.019185172102
706,American Century Select Fund,PrimeCap Odyssey Growth Fund,801.3352472964448
707,American Century Select Fund,Principal LargeCap Growth Fund I,603.3098372849289
708,American Century Select Fund,Putnam Large Cap Growth Fund,531.2656827784289
709,American Century Select Fund,Putnam Sustainable Leaders Fund,460.8198480724744
710,American Century Select Fund,SEI Large Cap Growth (SIMT) Fund,454.20195691764883
711,American Century Select Fund,Schwab Select Large Cap Growth Fund,474.4921690561308
712,American Century Select Fund,T. Rowe Price Instl Large Cap Core Gr Fd,687.1655345928128
713,American Century Select Fund,TCW Select Equities Fund,694.0745384051693
714,American Century Select Fund,TIAA-CREF Large-Cap Growth Fund,758.3587393622223
715,American Century Select Fund,Thrivent Large Cap Growth Fund,487.1885810565175
716,American Century Select Fund,Transamerica Capital Growth Fund,1181.7081930220293
717,American Century Select Fund,Transamerica US Growth,369.7069001817578
718,American Century Select Fund,VALIC Company I Growth Fund,481.66135170860207
719,American Century Select Fund,VY® T. Rowe Price Growth Equity Port,528.1552433777831
720,American Century Select Fund,Vanguard US Growth Portfolio,656.9320276501091
721,American Century Select Fund,Victory Aggressive Growth,420.13900410678303
722,American Century Select Fund,Victory Growth,564.0800792923297
723,American Century Select Fund,Voya Large Cap Growth Port,734.6031394998022
724,American Century Select Fund,Wedgewood Fund,683.8946816790864
725,BNY Mellon Research Growth Fund,BlackRock Capital Appreciation Fund,629.4410011179949
726,BNY Mellon Research Growth Fund,BlackRock Large Cap Focus Growth Fund,570.3743524427225
727,BNY Mellon Research Growth Fund,Calamos Growth Fund,851.8375139448963
728,BNY Mellon Research Growth Fund,Calvert Equity Fund,774.0695558269337
729,BNY Mellon Research Growth Fund,ClearBridge Large Cap Growth Fund,651.9264161310912
730,BNY Mellon Research Growth Fund,Columbia Large Cap Growth Fund,457.85024052474233
731,BNY Mellon Research Growth Fund,Columbia Large Cap Growth Opportunity Fd,401.36649853684463
732,BNY Mellon Research Growth Fund,Columbia Select Large Cap Growth Fund,1386.069504835089
733,BNY Mellon Research Growth Fund,DWS Capital Growth Fund,463.14286055137126
734,BNY Mellon Research Growth Fund,Delaware Ivy Accumulative Fund,661.4546377530872
735,BNY Mellon Research Growth Fund,Delaware Ivy Large Cap Growth Fund,546.4692424932529
736,BNY Mellon Research Growth Fund,Edgewood Growth Fund,784.2341795420255
737,BNY Mellon Research Growth Fund,Elfun Trusts,949.734133605225
738,BNY Mellon Research Growth Fund,Federated Hermes Kaufmann Lrg Cp Fd,630.9111503537679
739,BNY Mellon Research Growth Fund,Fidelity Advisor® Equity Growth Fund,593.2357140384727
740,BNY Mellon Research Growth Fund,Fidelity Advisor® Growth Opps Fd,839.0002361829241
741,BNY Mellon Research Growth Fund,Fidelity® Capital Appreciation Fund,612.5108391497437
742,BNY Mellon Research Growth Fund,Fidelity® Focused Stock Fund,616.5528215178601
743,BNY Mellon Research Growth Fund,Fidelity® Growth Discovery Fund,536.2078925054246
744,BNY Mellon Research Growth Fund,Fidelity® Large Cap Growth Enh Idx Fd,659.5230756852277
745,BNY Mellon Research Growth Fund,Fidelity® Trend Fund,508.3066420899857
746,BNY Mellon Research Growth Fund,GuideStone Funds Growth Equity Fund,437.2202668422117
747,BNY Mellon Research Growth Fund,Hartford Growth Opportunities Fund,826.1914684731533
748,BNY Mellon Research Growth Fund,Invesco Capital Appreciation Fd,596.2069787172677
749,BNY Mellon Research Growth Fund,Invesco Summit Fund,547.537140012639
750,BNY Mellon Research Growth Fund,JHFunds2 Capital Appreciation Fund,769.9460486268282
751,BNY Mellon Research Growth Fund,JHancock Blue Chip Growth Fund,740.0649960015971
752,BNY Mellon Research Growth Fund,JHancock US Global Leaders Growth Fund,474.33623010654804
753,BNY Mellon Research Growth Fund,JNL/BlackRock Large Cap Select Growth Fd,508.1676785624456
754,BNY Mellon Research Growth Fund,JNL/T. Rowe Price Established Growth Fd,620.4007217445204
755,BNY Mellon Research Growth Fund,Jackson Square Large Cap Growth Fd,593.1007952928138
756,BNY Mellon Research Growth Fund,Janus Henderson Forty Fund,650.5451635334282
757,BNY Mellon Research Growth Fund,Janus Henderson Research Fund,540.091873034308
758,BNY Mellon Research Growth Fund,John Hancock Funds III U.S. Growth Fd,458.8767986759884
759,BNY Mellon Research Growth Fund,Loomis Sayles Growth Fund,735.3379296300736
760,BNY Mellon Research Growth Fund,Lord Abbett Growth Leaders Fund,906.1867512324642
761,BNY Mellon Research Growth Fund,MFS Massachusetts Investors Gr Stk Fund,680.4732785435208
762,BNY Mellon Research Growth Fund,MainStay WMC Growth Fd,579.7810170474103
763,BNY Mellon Research Growth Fund,Morgan Stanley Insight Fund,1477.0277343478858
764,BNY Mellon Research Growth Fund,Neuberger Berman Large Cap Growth Fund,630.8486544940596
765,BNY Mellon Research Growth Fund,Nuveen Winslow Large-Cap Growth ESG Fund,587.5247990149395
766,BNY Mellon Research Growth Fund,Optimum Large Cap Growth Fund,403.7616416635321
767,BNY Mellon Research Growth Fund,PACE Large Co Growth Equity Invmt,452.6449074566441
768,BNY Mellon Research Growth Fund,PGIM Jennison Blend Fund,517.4484279423142
769,BNY Mellon Research Growth Fund,PGIM Jennison Growth Fund,785.3846770903626
770,BNY Mellon Research Growth Fund,Pioneer Disciplined Growth Fund,482.52921247404464
771,BNY Mellon Research Growth Fund,Pioneer Fundamental Growth Fund,697.4270532115928
772,BNY Mellon Research Growth Fund,Polen Growth Fund,794.4370356501054
773,BNY Mellon Research Growth Fund,PrimeCap Odyssey Growth Fund,884.9752603495882
774,BNY Mellon Research Growth Fund,Principal LargeCap Growth Fund I,640.1847711631893
775,BNY Mellon Research Growth Fund,Putnam Large Cap Growth Fund,654.3453757920682
776,BNY Mellon Research Growth Fund,Putnam Sustainable Leaders Fund,439.69450517886924
777,BNY Mellon Research Growth Fund,SEI Large Cap Growth (SIMT) Fund,427.38910108765407
778,BNY Mellon Research Growth Fund,Schwab Select Large Cap Growth Fund,572.8381303621301
779,BNY Mellon Research Growth Fund,T. Rowe Price Instl Large Cap Core Gr Fd,766.4703625171228
780,BNY Mellon Research Growth Fund,TCW Select Equities Fund,765.49458781364
781,BNY Mellon Research Growth Fund,TIAA-CREF Large-Cap Growth Fund,731.1874048936515
782,BNY Mellon Research Growth Fund,Thrivent Large Cap Growth Fund,540.0222271047335
783,BNY Mellon Research Growth Fund,Transamerica Capital Growth Fund,1255.2398426808707
784,BNY Mellon Research Growth Fund,Transamerica US Growth,519.4432206479237
785,BNY Mellon Research Growth Fund,VALIC Company I Growth Fund,510.22211166101755
786,BNY Mellon Research Growth Fund,VY® T. Rowe Price Growth Equity Port,501.9014451382434
787,BNY Mellon Research Growth Fund,Vanguard US Growth Portfolio,702.9633435693572
788,BNY Mellon Research Growth Fund,Victory Aggressive Growth,535.5736832831028
789,BNY Mellon Research Growth Fund,Victory Growth,442.7805960687285
790,BNY Mellon Research Growth Fund,Voya Large Cap Growth Port,743.4826494379765
791,BNY Mellon Research Growth Fund,Wedgewood Fund,664.6615402259029
792,BlackRock Capital Appreciation Fund,BlackRock Large Cap Focus Growth Fund,559.026871424016
793,BlackRock Capital Appreciation Fund,Calamos Growth Fund,651.9008448600877
794,BlackRock Capital Appreciation Fund,Calvert Equity Fund,928.1483629198459
795,BlackRock Capital Appreciation Fund,ClearBridge Large Cap Growth Fund,745.1330356356774
796,BlackRock Capital Appreciation Fund,Columbia Large Cap Growth Fund,486.081722633954
797,BlackRock Capital Appreciation Fund,Columbia Large Cap Growth Opportunity Fd,555.2824104673849
798,BlackRock Capital Appreciation Fund,Columbia Select Large Cap Growth Fund,1177.2973823081006
799,BlackRock Capital Appreciation Fund,DWS Capital Growth Fund,511.1186033890005
800,BlackRock Capital Appreciation Fund,Delaware Ivy Accumulative Fund,933.0007790291603
801,BlackRock Capital Appreciation Fund,Delaware Ivy Large Cap Growth Fund,612.7830206060949
802,BlackRock Capital Appreciation Fund,Edgewood Growth Fund,728.6751234801725
803,BlackRock Capital Appreciation Fund,Elfun Trusts,916.2747045096303
804,BlackRock Capital Appreciation Fund,Federated Hermes Kaufmann Lrg Cp Fd,660.960453795753
805,BlackRock Capital Appreciation Fund,Fidelity Advisor® Equity Growth Fund,655.9078140341898
806,BlackRock Capital Appreciation Fund,Fidelity Advisor® Growth Opps Fd,691.1129073222951
807,BlackRock Capital Appreciation Fund,Fidelity® Capital Appreciation Fund,563.0174484075862
808,BlackRock Capital Appreciation Fund,Fidelity® Focused Stock Fund,767.3635480314164
809,BlackRock Capital Appreciation Fund,Fidelity® Growth Discovery Fund,703.3211295817898
810,BlackRock Capital Appreciation Fund,Fidelity® Large Cap Growth Enh Idx Fd,570.8936664446744
811,BlackRock Capital Appreciation Fund,Fidelity® Trend Fund,528.8493846152323
812,BlackRock Capital Appreciation Fund,GuideStone Funds Growth Equity Fund,568.9439119469273
813,BlackRock Capital Appreciation Fund,Hartford Growth Opportunities Fund,687.7442343873591
814,BlackRock Capital Appreciation Fund,Invesco Capital Appreciation Fd,524.4823209297856
815,BlackRock Capital Appreciation Fund,Invesco Summit Fund,358.8981956290299
816,BlackRock Capital Appreciation Fund,JHFunds2 Capital Appreciation Fund,618.1478407415445
817,BlackRock Capital Appreciation Fund,JHancock Blue Chip Growth Fund,636.6069925552788
818,BlackRock Capital Appreciation Fund,JHancock US Global Leaders Growth Fund,729.9825372030681
819,BlackRock Capital Appreciation Fund,JNL/BlackRock Large Cap Select Growth Fd,456.75565185121593
820,BlackRock Capital Appreciation Fund,JNL/T. Rowe Price Established Growth Fd,653.2457272289365
821,BlackRock Capital Appreciation Fund,Jackson Square Large Cap Growth Fd,789.1058610285711
822,BlackRock Capital Appreciation Fund,Janus Henderson Forty Fund,471.87132161661117
823,BlackRock Capital Appreciation Fund,Janus Henderson Research Fund,548.2823143678607
824,BlackRock Capital Appreciation Fund,John Hancock Funds III U.S. Growth Fd,602.3496482739437
825,BlackRock Capital Appreciation Fund,Loomis Sayles Growth Fund,641.2972205503294
826,BlackRock Capital Appreciation Fund,Lord Abbett Growth Leaders Fund,723.3888762817967
827,BlackRock Capital Appreciation Fund,MFS Massachusetts Investors Gr Stk Fund,680.441317456068
828,BlackRock Capital Appreciation Fund,MainStay WMC Growth Fd,595.608397315154
829,BlackRock Capital Appreciation Fund,Morgan Stanley Insight Fund,1179.0681820401985
830,BlackRock Capital Appreciation Fund,Neuberger Berman Large Cap Growth Fund,765.0451558142873
831,BlackRock Capital Appreciation Fund,Nuveen Winslow Large-Cap Growth ESG Fund,525.4433135604233
832,BlackRock Capital Appreciation Fund,Optimum Large Cap Growth Fund,587.0373360275494
833,BlackRock Capital Appreciation Fund,PACE Large Co Growth Equity Invmt,678.3609432423017
834,BlackRock Capital Appreciation Fund,PGIM Jennison Blend Fund,610.0850786037059
835,BlackRock Capital Appreciation Fund,PGIM Jennison Growth Fund,598.8704148566574
836,BlackRock Capital Appreciation Fund,Pioneer Disciplined Growth Fund,628.7458264958917
837,BlackRock Capital Appreciation Fund,Pioneer Fundamental Growth Fund,783.8213973391483
838,BlackRock Capital Appreciation Fund,Polen Growth Fund,687.0435089686698
839,BlackRock Capital Appreciation Fund,PrimeCap Odyssey Growth Fund,838.9732091157487
840,BlackRock Capital Appreciation Fund,Principal LargeCap Growth Fund I,561.714450550849
841,BlackRock Capital Appreciation Fund,Putnam Large Cap Growth Fund,584.4238395905261
842,BlackRock Capital Appreciation Fund,Putnam Sustainable Leaders Fund,605.3160822284132
843,BlackRock Capital Appreciation Fund,SEI Large Cap Growth (SIMT) Fund,660.3682473380729
844,BlackRock Capital Appreciation Fund,Schwab Select Large Cap Growth Fund,487.1993145985737
845,BlackRock Capital Appreciation Fund,T. Rowe Price Instl Large Cap Core Gr Fd,601.5142911860476
846,BlackRock Capital Appreciation Fund,TCW Select Equities Fund,584.6195398109481
847,BlackRock Capital Appreciation Fund,TIAA-CREF Large-Cap Growth Fund,670.8999111140637
848,BlackRock Capital Appreciation Fund,Thrivent Large Cap Growth Fund,571.5726731571152
849,BlackRock Capital Appreciation Fund,Transamerica Capital Growth Fund,1066.8746889052184
850,BlackRock Capital Appreciation Fund,Transamerica US Growth,498.7813924670589
851,BlackRock Capital Appreciation Fund,VALIC Company I Growth Fund,611.0947121994976
852,BlackRock Capital Appreciation Fund,VY® T. Rowe Price Growth Equity Port,528.4056854561019
853,BlackRock Capital Appreciation Fund,Vanguard US Growth Portfolio,676.1353203876779
854,BlackRock Capital Appreciation Fund,Victory Aggressive Growth,519.3327290500994
855,BlackRock Capital Appreciation Fund,Victory Growth,683.7483179983846
856,BlackRock Capital Appreciation Fund,Voya Large Cap Growth Port,596.8605131577499
857,BlackRock Capital Appreciation Fund,Wedgewood Fund,822.865370678466
858,BlackRock Large Cap Focus Growth Fund,Calamos Growth Fund,1082.8990997852256
859,BlackRock Large Cap Focus Growth Fund,Calvert Equity Fund,888.525108463874
860,BlackRock Large Cap Focus Growth Fund,ClearBridge Large Cap Growth Fund,473.4819840892275
861,BlackRock Large Cap Focus Growth Fund,Columbia Large Cap Growth Fund,529.9158820418697
862,BlackRock Large Cap Focus Growth Fund,Columbia Large Cap Growth Opportunity Fd,508.52952468124687
863,BlackRock Large Cap Focus Growth Fund,Columbia Select Large Cap Growth Fund,1522.8349362903398
864,BlackRock Large Cap Focus Growth Fund,DWS Capital Growth Fund,528.5094410489971
865,BlackRock Large Cap Focus Growth Fund,Delaware Ivy Accumulative Fund,821.8862477501102
866,BlackRock Large Cap Focus Growth Fund,Delaware Ivy Large Cap Growth Fund,688.2141627586661
867,BlackRock Large Cap Focus Growth Fund,Edgewood Growth Fund,629.2751116185478
868,BlackRock Large Cap Focus Growth Fund,Elfun Trusts,1055.356292318519
869,BlackRock Large Cap Focus Growth Fund,Federated Hermes Kaufmann Lrg Cp Fd,451.0110121565142
870,BlackRock Large Cap Focus Growth Fund,Fidelity Advisor® Equity Growth Fund,562.3542066155374
871,BlackRock Large Cap Focus Growth Fund,Fidelity Advisor® Growth Opps Fd,756.4029332088706
872,BlackRock Large Cap Focus Growth Fund,Fidelity® Capital Appreciation Fund,132.38057522305792
873,BlackRock Large Cap Focus Growth Fund,Fidelity® Focused Stock Fund,837.4013848933008
874,BlackRock Large Cap Focus Growth Fund,Fidelity® Growth Discovery Fund,420.8092163915245
875,BlackRock Large Cap Focus Growth Fund,Fidelity® Large Cap Growth Enh Idx Fd,171.55061121451158
876,BlackRock Large Cap Focus Growth Fund,Fidelity® Trend Fund,528.3526805538713
877,BlackRock Large Cap Focus Growth Fund,GuideStone Funds Growth Equity Fund,448.97621878762675
878,BlackRock Large Cap Focus Growth Fund,Hartford Growth Opportunities Fund,850.7866547722641
879,BlackRock Large Cap Focus Growth Fund,Invesco Capital Appreciation Fd,435.09507188094096
880,BlackRock Large Cap Focus Growth Fund,Invesco Summit Fund,464.4670341633346
881,BlackRock Large Cap Focus Growth Fund,JHFunds2 Capital Appreciation Fund,673.1427928451203
882,BlackRock Large Cap Focus Growth Fund,JHancock Blue Chip Growth Fund,609.1079724567766
883,BlackRock Large Cap Focus Growth Fund,JHancock US Global Leaders Growth Fund,608.5307690283931
884,BlackRock Large Cap Focus Growth Fund,JNL/BlackRock Large Cap Select Growth Fd,331.4668366785988
885,BlackRock Large Cap Focus Growth Fund,JNL/T. Rowe Price Established Growth Fd,402.27599357713103
886,BlackRock Large Cap Focus Growth Fund,Jackson Square Large Cap Growth Fd,777.2209420459786
887,BlackRock Large Cap Focus Growth Fund,Janus Henderson Forty Fund,415.4907635012665
888,BlackRock Large Cap Focus Growth Fund,Janus Henderson Research Fund,318.0887838650858
889,BlackRock Large Cap Focus Growth Fund,John Hancock Funds III U.S. Growth Fd,382.94487683640654
890,BlackRock Large Cap Focus Growth Fund,Loomis Sayles Growth Fund,425.5617788349074
891,BlackRock Large Cap Focus Growth Fund,Lord Abbett Growth Leaders Fund,679.1057163736864
892,BlackRock Large Cap Focus Growth Fund,MFS Massachusetts Investors Gr Stk Fund,502.9262120801398
893,BlackRock Large Cap Focus Growth Fund,MainStay WMC Growth Fd,226.66251410889822
894,BlackRock Large Cap Focus Growth Fund,Morgan Stanley Insight Fund,953.4739014922047
895,BlackRock Large Cap Focus Growth Fund,Neuberger Berman Large Cap Growth Fund,342.7484635737468
896,BlackRock Large Cap Focus Growth Fund,Nuveen Winslow Large-Cap Growth ESG Fund,151.38723615481462
897,BlackRock Large Cap Focus Growth Fund,Optimum Large Cap Growth Fund,402.01605969182367
898,BlackRock Large Cap Focus Growth Fund,PACE Large Co Growth Equity Invmt,476.65780874265096
899,BlackRock Large Cap Focus Growth Fund,PGIM Jennison Blend Fund,209.85075233786324
900,BlackRock Large Cap Focus Growth Fund,PGIM Jennison Growth Fund,686.1714041070701
901,BlackRock Large Cap Focus Growth Fund,Pioneer Disciplined Growth Fund,256.64250199778473
902,BlackRock Large Cap Focus Growth Fund,Pioneer Fundamental Growth Fund,950.1552301803935
903,BlackRock Large Cap Focus Growth Fund,Polen Growth Fund,487.9308532247014
904,BlackRock Large Cap Focus Growth Fund,PrimeCap Odyssey Growth Fund,660.1399366250065
905,BlackRock Large Cap Focus Growth Fund,Principal LargeCap Growth Fund I,102.83556842715608
906,BlackRock Large Cap Focus Growth Fund,Putnam Large Cap Growth Fund,335.79219935370503
907,BlackRock Large Cap Focus Growth Fund,Putnam Sustainable Leaders Fund,670.9698989256087
908,BlackRock Large Cap Focus Growth Fund,SEI Large Cap Growth (SIMT) Fund,453.48935519001674
909,BlackRock Large Cap Focus Growth Fund,Schwab Select Large Cap Growth Fund,490.72495855019116
910,BlackRock Large Cap Focus Growth Fund,T. Rowe Price Instl Large Cap Core Gr Fd,498.36999274311876
911,BlackRock Large Cap Focus Growth Fund,TCW Select Equities Fund,608.0910470631865
912,BlackRock Large Cap Focus Growth Fund,TIAA-CREF Large-Cap Growth Fund,719.179149016787
913,BlackRock Large Cap Focus Growth Fund,Thrivent Large Cap Growth Fund,85.78258861210911
914,BlackRock Large Cap Focus Growth Fund,Transamerica Capital Growth Fund,885.3110474994241
915,BlackRock Large Cap Focus Growth Fund,Transamerica US Growth,524.0180065710512
916,BlackRock Large Cap Focus Growth Fund,VALIC Company I Growth Fund,200.50861662047564
917,BlackRock Large Cap Focus Growth Fund,VY® T. Rowe Price Growth Equity Port,458.84191356084335
918,BlackRock Large Cap Focus Growth Fund,Vanguard US Growth Portfolio,461.40101136795124
919,BlackRock Large Cap Focus Growth Fund,Victory Aggressive Growth,383.25097158856954
920,BlackRock Large Cap Focus Growth Fund,Victory Growth,738.1806189307915
921,BlackRock Large Cap Focus Growth Fund,Voya Large Cap Growth Port,754.2324008109334
922,BlackRock Large Cap Focus Growth Fund,Wedgewood Fund,545.1980111452259
923,Calamos Growth Fund,Calvert Equity Fund,1095.7724486487746
924,Calamos Growth Fund,ClearBridge Large Cap Growth Fund,1004.1457489300523
925,Calamos Growth Fund,Columbia Large Cap Growth Fund,1077.8453477140465
926,Calamos Growth Fund,Columbia Large Cap Growth Opportunity Fd,711.595821804803
927,Calamos Growth Fund,Columbia Select Large Cap Growth Fund,1370.663140884862
928,Calamos Growth Fund,DWS Capital Growth Fund,1053.173605436125
929,Calamos Growth Fund,Delaware Ivy Accumulative Fund,787.5223624141228
930,Calamos Growth Fund,Delaware Ivy Large Cap Growth Fund,878.4436747709883
931,Calamos Growth Fund,Edgewood Growth Fund,1356.287866608101
932,Calamos Growth Fund,Elfun Trusts,1031.2089210112238
933,Calamos Growth Fund,Federated Hermes Kaufmann Lrg Cp Fd,1026.0443970395834
934,Calamos Growth Fund,Fidelity Advisor® Equity Growth Fund,1034.675304557426
935,Calamos Growth Fund,Fidelity Advisor® Growth Opps Fd,1019.492227384945
936,Calamos Growth Fund,Fidelity® Capital Appreciation Fund,1130.7547719945849
937,Calamos Growth Fund,Fidelity® Focused Stock Fund,1188.322421381008
938,Calamos Growth Fund,Fidelity® Growth Discovery Fund,946.9506659195473
939,Calamos Growth Fund,Fidelity® Large Cap Growth Enh Idx Fd,1515.1927076485597
940,Calamos Growth Fund,Fidelity® Trend Fund,1134.0156290578936
941,Calamos Growth Fund,GuideStone Funds Growth Equity Fund,1003.7691466630175
942,Calamos Growth Fund,Hartford Growth Opportunities Fund,1081.7293707208166
943,Calamos Growth Fund,Invesco Capital Appreciation Fd,862.3322927948474
944,Calamos Growth Fund,Invesco Summit Fund,807.0158625588618
945,Calamos Growth Fund,JHFunds2 Capital Appreciation Fund,1034.4110024197178
946,Calamos Growth Fund,JHancock Blue Chip Growth Fund,916.5816737170801
947,Calamos Growth Fund,JHancock US Global Leaders Growth Fund,1005.9595920598773
948,Calamos Growth Fund,JNL/BlackRock Large Cap Select Growth Fd,944.8639687645872
949,Calamos Growth Fund,JNL/T. Rowe Price Established Growth Fd,1140.8515261759978
950,Calamos Growth Fund,Jackson Square Large Cap Growth Fd,914.3578155585833
951,Calamos Growth Fund,Janus Henderson Forty Fund,740.6930102536867
952,Calamos Growth Fund,Janus Henderson Research Fund,994.4845206227895
953,Calamos Growth Fund,John Hancock Funds III U.S. Growth Fd,1158.973656625219
954,Calamos Growth Fund,Loomis Sayles Growth Fund,998.4163247415996
955,Calamos Growth Fund,Lord Abbett Growth Leaders Fund,1128.0748466819368
956,Calamos Growth Fund,MFS Massachusetts Investors Gr Stk Fund,897.8345612009317
957,Calamos Growth Fund,MainStay WMC Growth Fd,795.4616279559128
958,Calamos Growth Fund,Morgan Stanley Insight Fund,1687.281559686259
959,Calamos Growth Fund,Neuberger Berman Large Cap Growth Fund,926.0861639357088
960,Calamos Growth Fund,Nuveen Winslow Large-Cap Growth ESG Fund,849.5744955882409
961,Calamos Growth Fund,Optimum Large Cap Growth Fund,882.6353955493227
962,Calamos Growth Fund,PACE Large Co Growth Equity Invmt,919.3355704370813
963,Calamos Growth Fund,PGIM Jennison Blend Fund,900.9662583666401
964,Calamos Growth Fund,PGIM Jennison Growth Fund,910.2378504340988
965,Calamos Growth Fund,Pioneer Disciplined Growth Fund,1080.445696227772
966,Calamos Growth Fund,Pioneer Fundamental Growth Fund,1004.9186991208221
967,Calamos Growth Fund,Polen Growth Fund,1358.6106106103907
968,Calamos Growth Fund,PrimeCap Odyssey Growth Fund,1224.8673614420388
969,Calamos Growth Fund,Principal LargeCap Growth Fund I,1001.6918351117112
970,Calamos Growth Fund,Putnam Large Cap Growth Fund,918.4561387610812
